current_video_id,file_name,source_path,recommended_keyframe_timestamps,review_goal,local_media_generated,status
cfv_0001,30+产后妈妈居家必练动作.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/30+产后妈妈居家必练动作.mp4,0.00s；2.12s；4.24s；6.37s；8.49s；10.41s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0002,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,0.00s；2.35s；4.70s；7.05s；9.40s；11.55s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0003,4月17日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/4月17日(1).mp4,0.00s；5.47s；10.94s；16.41s；21.88s；27.15s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0004,5月26日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日/5月26日.mp4,0.00s；2.83s；5.66s；8.48s；11.31s；13.94s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0005,5月26日 (2).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日 (2)/5月26日 (2).mp4,0.00s；2.44s；4.89s；7.33s；9.77s；12.01s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0006,5月26日(1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月26日(1)/5月26日(1).mp4,0.00s；2.83s；5.66s；8.48s；11.31s；13.94s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0007,5月27日.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日/5月27日.mp4,0.00s；3.30s；6.60s；9.91s；13.21s；16.31s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0008,5月27日 (1).mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/5月27日 (1)/5月27日 (1).mp4,0.00s；4.48s；8.95s；13.43s；17.91s；22.18s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0009,70%女性中招的盆底肌误区.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/70%女性中招的盆底肌误区.mp4,0.00s；13.16s；26.31s；39.47s；52.63s；65.58s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
cfv_0010,Z宫下垂盆底无力就练臀桥呼吸.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/Z宫下垂盆底无力就练臀桥呼吸.mp4,0.00s；15.92s；31.83s；47.74s；63.66s；79.38s,人工确认开头钩子、中段动作/解释、结尾收束是否同题连续,no,pending_manual_visual_review
