_source_file_id,_source_line_number,_source_path,bridge_id,lesson_id,source_type,source_quote,timecode,bridge_note,review_flag,field_type
SRC13455,2,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00001,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0004,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,3,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00002,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0005,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,4,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00003,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0005,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,5,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00004,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0006,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,6,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00005,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0006,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,7,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00006,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0007,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,8,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00007,L1071,knowledge,无论是在情感表达沟通上，还是在个人魅力和生活品质上，你都将迎来新的提升,P0007,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,9,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00008,L1071,knowledge,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0008,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,10,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00009,L1072,knowledge,[已脱敏_仅保留高层词族:adult_body_part_risk; 原文细节未复制; review_gate=professional_review_required],P0003,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
SRC13455,11,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B00010,L1072,knowledge,上产品：把准备好的精油，挤在手心里，双手合十把精油摊开,P0004,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review,直播讲解可用知识点
