_source_file_id,_source_line_number,_source_path,action_id,lesson_id,start_time,end_time,action_label,action_description_cn,body_part,expression,gaze,camera_state,confidence,review_flag
SRC00341,2,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000001,L0001,00:00:01.840,00:00:02.920,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,3,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000002,L0001,00:00:02.920,00:00:04.400,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,4,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000003,L0001,00:00:04.400,00:00:06.280,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,5,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000004,L0001,00:00:06.280,00:00:08.080,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,6,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000005,L0001,00:00:08.080,00:00:10.360,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,7,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000006,L0001,00:00:10.360,00:00:11.720,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,8,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000007,L0001,00:00:11.720,00:00:12.440,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,9,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000008,L0001,00:00:12.440,00:00:14.480,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,10,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000009,L0001,00:00:14.480,00:00:15.960,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
SRC00341,11,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,A_L0001_S000010,L0001,00:00:15.960,00:00:17.400,slide_or_scene_no_presenter_detected,与逐字稿原句对照的动作标签：slide_or_scene_no_presenter_detected；来源：video_sample_feature,screen_or_courseware,no_face_detected,no_face_detected,scene_no_presenter_detected,low,待复核_visual_nearest_sample
