_source_file_id,_source_line_number,_source_path,action_id,lesson_id,chunk_id,start_time,end_time,action_label,action_description_cn,body_part,expression,gaze,camera_state,confidence,review_flag
SRC00057,2,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000001,L0001,L0001_C0001,00:00:00.000,00:05:00.000,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,3,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000002,L0001,L0001_C0002,00:05:00.000,00:05:11.133,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,4,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000003,L0002,L0002_C0001,00:00:00.000,00:05:00.000,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,5,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000004,L0002,L0002_C0002,00:05:00.000,00:09:24.849,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,6,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000005,L0003,L0003_C0001,00:00:00.000,00:03:45.953,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,7,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000006,L0004,L0004_C0001,00:00:00.000,00:05:00.000,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,8,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000007,L0004,L0004_C0002,00:05:00.000,00:06:12.355,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,9,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000008,L0005,L0005_C0001,00:00:00.000,00:05:00.000,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,10,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000009,L0005,L0005_C0002,00:05:00.000,00:10:00.000,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
SRC00057,11,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/06_讲师动作时间轴_presenter_action_timeline.csv,A000010,L0005,L0005_C0003,00:10:00.000,00:13:36.042,low_confidence_action_pending_review,已按视频时间轴建立动作观察窗口；未进行可靠人体姿态识别，需人工或后续视觉模型复核。,unknown_pending_review,unknown_pending_review,unknown_pending_review,unknown_pending_review,low,待复核_action_low_confidence
