_source_file_id,_source_line_number,_source_path,bridge_id,lesson_id,chunk_id,source_time,source_ref,live_usage_type,human_review_needed,knowledge_point_sample
SRC00087,2,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000001,L0001,L0001_C0001,00:00:00.000 - 00:05:00.000,previous_pack:data/full_transcript_clean.jsonl:L0001:segments=1-186,explain,yes,Hello 大家好 / 欢迎大家来到蓝星老师的 / ... / 或者你想要提升你和伴侣之间的
SRC00087,3,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000002,L0001,L0001_C0002,00:05:00.000 - 00:05:11.133,previous_pack:data/full_transcript_clean.jsonl:L0001:segments=187-191,explain,yes,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC00087,4,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000003,L0002,L0002_C0001,00:00:00.000 - 00:05:00.000,previous_pack:data/full_transcript_clean.jsonl:L0002:segments=1-143,explain,yes,[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required]
SRC00087,5,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000004,L0002,L0002_C0002,00:05:00.000 - 00:09:24.849,previous_pack:data/full_transcript_clean.jsonl:L0002:segments=144-304,explain,yes,然后呢 / 也会进入的更深一些 / ... / 赶紧试起来吧
SRC00087,6,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000005,L0003,L0003_C0001,00:00:00.000 - 00:03:45.953,previous_pack:data/full_transcript_clean.jsonl:L0003:segments=1-112,explain,yes,了解了我们是什么类型的女生 / 什么样的体会过后 / ... / 从实战当中去学习
SRC00087,7,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000006,L0004,L0004_C0001,00:00:00.000 - 00:05:00.000,previous_pack:data/full_transcript_clean.jsonl:L0004:segments=1-146,explain,yes,我们在准备食草之前 / 我们还需要对我们的身体有更多的了解 / ... / 就是那种剪刀式
SRC00087,8,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000007,L0004,L0004_C0002,00:05:00.000 - 00:06:12.355,previous_pack:data/full_transcript_clean.jsonl:L0004:segments=147-183,explain,yes,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC00087,9,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000008,L0005,L0005_C0001,00:00:00.000 - 00:05:00.000,previous_pack:data/full_transcript_clean.jsonl:L0005:segments=1-139,explain,yes,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required]
SRC00087,10,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000009,L0005,L0005_C0002,00:05:00.000 - 00:10:00.000,previous_pack:data/full_transcript_clean.jsonl:L0005:segments=140-307,explain,yes,往前的時候收緊 / 往後放鬆 / ... / 都是我們可以去變換的場景
SRC00087,11,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000010,L0005,L0005_C0003,00:10:00.000 - 00:13:36.042,previous_pack:data/full_transcript_clean.jsonl:L0005:segments=308-424,emphasize,yes,不一定我們一定是對方是躺在這裡 / 所以有很多的這個場景 / ... / 可以嘗試一下哦
SRC00087,12,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000011,L0006,L0006_C0001,00:00:00.000 - 00:05:00.000,previous_pack:data/full_transcript_clean.jsonl:L0006:segments=1-132,explain,yes,接下来我们要示范的一个姿势叫做策卧室 / 策卧室比较适合什么样子的情况 什么内心 / ... / 音道向上提
SRC00087,13,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000012,L0006,L0006_C0002,00:05:00.000 - 00:09:55.267,previous_pack:data/full_transcript_clean.jsonl:L0006:segments=133-279,explain,yes,腹部向内收 / 配合我们的呼吸吸气 / ... / 可以去大胆尝试的一个知识哦
SRC00087,14,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000013,L0007,L0007_C0001,00:00:00.000 - 00:05:00.000,previous_pack:data/full_transcript_clean.jsonl:L0007:segments=1-150,explain,yes,那接下来呢 我将给大家进行详细的示范 / 我要请出我的模特大熊女士 / ... / 将上下上下的活动
SRC00087,15,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000014,L0007,L0007_C0002,00:05:00.000 - 00:07:59.121,previous_pack:data/full_transcript_clean.jsonl:L0007:segments=151-244,explain,yes,然后呢 / 也可以起到一个主导的一个作用 / ... / 今天晚上试起来
SRC00087,17,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,LB000016,L0008,L0008_C0002,00:05:00.000 - 00:08:35.040,previous_pack:data/full_transcript_clean.jsonl:L0008:segments=163-302,explain,yes,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
