_source_file_id,_source_line_number,_source_path,term,lesson_id,source_quote,timecode,definition_or_context,review_flag
SRC13403,2,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,按摩,L0846,YONI疗愈按摩,P0002,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,3,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,课程,L1071,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0006,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,4,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,按摩,L1072,按摩前一定要用上专用的精油，作为润滑，私处的皮肤是非常脆弱的，如果不小心弄痛它的话就不好玩儿了,P0003,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,5,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],L1072,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],P0006,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,6,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,课程,L0001,今天我们要上的课程是,00:00:06.280,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,7,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],L0001,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],00:00:12.440,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,8,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],L0001,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],00:00:14.480,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,9,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,愉悦度,L0001,提升我们自身的愉悦度,00:00:26.720,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,10,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],L0001,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],00:00:59.120,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,11,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],L0002,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],00:03:28.260,从课程原文上下文提取，需人工补充准确定义,needs_human_review
SRC13403,12,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,课程,L0003,我们会在情绪女王的课程当中,00:01:27.030,从课程原文上下文提取，需人工补充准确定义,needs_human_review
