_source_file_id,_source_line_number,_source_path,knowledge_id,lesson_id,topic,source_quote,timecode,usage,confidence,review_flag,knowledge_point
SRC13454,2,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00001,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0004,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,3,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00002,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0005,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,4,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00003,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0005,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,5,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00004,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0006,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,6,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00005,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0006,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,7,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00006,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0007,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,8,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00007,L1071,课程原文提取,无论是在情感表达沟通上，还是在个人魅力和生活品质上，你都将迎来新的提升,P0007,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,无论是在情感表达沟通上，还是在个人魅力和生活品质上，你都将迎来新的提升
SRC13454,9,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00008,L1071,课程原文提取,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],P0008,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,10,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00009,L1072,课程原文提取,[已脱敏_仅保留高层词族:adult_body_part_risk; 原文细节未复制; review_gate=professional_review_required],P0003,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,[已脱敏_仅保留高层词族:adult_body_part_risk; 原文细节未复制; review_gate=professional_review_required]
SRC13454,11,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,K00010,L1072,课程原文提取,上产品：把准备好的精油，挤在手心里，双手合十把精油摊开,P0004,可作为课程知识点候选，需人工复核归类,extractive,needs_human_review,上产品：把准备好的精油，挤在手心里，双手合十把精油摊开
