_source_file_id,_source_line_number,_source_path,row_id,lesson_id,chunk_id,start_time,end_time,transcript_text,source_ref,slide_title,visible_text,visual_focus,presenter_action,expression,gaze,prosody_label,confidence,review_flag
SRC00060,2,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000001,L0001,L0001_C0001,00:00:00.000,00:05:00.000,Hello 大家好 / 欢迎大家来到蓝星老师的 / ... / 或者你想要提升你和伴侣之间的,previous_pack:data/full_transcript_clean.jsonl:L0001:segments=1-186,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,3,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000002,L0001,L0001_C0002,00:05:00.000,00:05:11.133,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],previous_pack:data/full_transcript_clean.jsonl:L0001:segments=187-191,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,4,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000003,L0002,L0002_C0001,00:00:00.000,00:05:00.000,[已脱敏_仅保留高层词族:sensitive_adult_or_health_risk; 原文细节未复制; review_gate=professional_review_required],previous_pack:data/full_transcript_clean.jsonl:L0002:segments=1-143,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,5,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000004,L0002,L0002_C0002,00:05:00.000,00:09:24.849,然后呢 / 也会进入的更深一些 / ... / 赶紧试起来吧,previous_pack:data/full_transcript_clean.jsonl:L0002:segments=144-304,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,6,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000005,L0003,L0003_C0001,00:00:00.000,00:03:45.953,了解了我们是什么类型的女生 / 什么样的体会过后 / ... / 从实战当中去学习,previous_pack:data/full_transcript_clean.jsonl:L0003:segments=1-112,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,7,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000006,L0004,L0004_C0001,00:00:00.000,00:05:00.000,我们在准备食草之前 / 我们还需要对我们的身体有更多的了解 / ... / 就是那种剪刀式,previous_pack:data/full_transcript_clean.jsonl:L0004:segments=1-146,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,8,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000007,L0004,L0004_C0002,00:05:00.000,00:06:12.355,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],previous_pack:data/full_transcript_clean.jsonl:L0004:segments=147-183,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,9,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000008,L0005,L0005_C0001,00:00:00.000,00:05:00.000,[已脱敏_仅保留高层词族:pelvic_floor_or_private_health_risk; 原文细节未复制; review_gate=professional_review_required],previous_pack:data/full_transcript_clean.jsonl:L0005:segments=1-139,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,10,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000009,L0005,L0005_C0002,00:05:00.000,00:10:00.000,往前的時候收緊 / 往後放鬆 / ... / 都是我們可以去變換的場景,previous_pack:data/full_transcript_clean.jsonl:L0005:segments=140-307,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,11,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000010,L0005,L0005_C0003,00:10:00.000,00:13:36.042,不一定我們一定是對方是躺在這裡 / 所以有很多的這個場景 / ... / 可以嘗試一下哦,previous_pack:data/full_transcript_clean.jsonl:L0005:segments=308-424,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,warning_reminder,low,待复核_visual_action_low_confidence
SRC00060,12,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000011,L0006,L0006_C0001,00:00:00.000,00:05:00.000,接下来我们要示范的一个姿势叫做策卧室 / 策卧室比较适合什么样子的情况 什么内心 / ... / 音道向上提,previous_pack:data/full_transcript_clean.jsonl:L0006:segments=1-132,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,13,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000012,L0006,L0006_C0002,00:05:00.000,00:09:55.267,腹部向内收 / 配合我们的呼吸吸气 / ... / 可以去大胆尝试的一个知识哦,previous_pack:data/full_transcript_clean.jsonl:L0006:segments=133-279,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,14,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000013,L0007,L0007_C0001,00:00:00.000,00:05:00.000,那接下来呢 我将给大家进行详细的示范 / 我要请出我的模特大熊女士 / ... / 将上下上下的活动,previous_pack:data/full_transcript_clean.jsonl:L0007:segments=1-150,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
SRC00060,15,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,R000014,L0007,L0007_C0002,00:05:00.000,00:07:59.121,然后呢 / 也可以起到一个主导的一个作用 / ... / 今天晚上试起来,previous_pack:data/full_transcript_clean.jsonl:L0007:segments=151-244,待复核_OCR不可用或未全量视觉确认,,课件/画面内容待人工复核；本轮仅建立时间窗口与低清样本索引。,low_confidence_action_pending_review,unknown_pending_review,unknown_pending_review,normal_explain,low,待复核_visual_action_low_confidence
