source_category,file_name,has_existing_parse,existing_parse_path,missing_fields,needs_reparse,reason
ai_needed_final_video,4月17日(1).mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,5月26日 (2).mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,5月26日(1).mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,5月26日.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,5月27日 (1).mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,5月27日.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,30+产后妈妈居家必练动作.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,35岁以后都去练不管生完多久了每天100个 小肚子平了 臀翘了最重要的是可以锻炼盆底肌.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,70%女性中招的盆底肌误区.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,Z宫下垂盆底无力就练臀桥呼吸.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,产后漏尿能自己好吗.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
ai_needed_final_video,你的小肚子凸可能不是胖.mp4,yes,/Volumes/WD_BLACK/澜心社剪辑/lanxinse--/素材解析_pipeline_material_analysis/08_finished_video_analysis/前100条阿里多模态复核矩阵_ali_multimodal_recheck_matrix_100.csv,content_archetype；route_decision；problem_action_bridge_seconds；tts_action_alignment；repackaging_value_score；needs_adjacent_merge；candidate_status,no_schema_backfill_only,existing_ali_recheck_can_be_reused_new_schema_fields_missing_in_old_csv
